product_name,manufacturer,model
Baofeng BFC2,Baofeng,BFC2
Baofeng DM-X,Baofeng,DM-X
Motorola SL3500e HT,Motorola,SL3500e HT
Alinco DJ-MD40,Alinco,DJ-MD40
Retevis RT87,Retevis,RT87
Retevis RT15,Retevis,RT15
M/A-COM P7100ip,M/A-Com,P7100ip
Kiriusn TP660,Kiriusn,TP660
GD55 Plus,Gd55,Plus
Yanton T-650UV 10-watt HT,Yanton,T-650UV 10-watt HT
Kanglong KL-H3,Kanglong,KL-H3
Kanglong KL-320,Kanglong,KL-320
Alinco DJ-560T,Alinco,DJ-560T
TYT MD-680 UHF DMR 10Watt,Tyt,MD-680 UHF DMR 10Watt
Motorola MT1000/P200 Low band handheld radio,Motorola,MT1000/P200 Low band handheld radio
Anytone ANILE-8R (VHF or UHF),Anytone,ANILE-8R
Luiton LT-188H VHF 10watts Handheld Ham Radio,Luiton,LT-188H VHF 10watts Handheld Ham Radio
Baofeng BF-A5,Baofeng,BF-A5
Baofeng / Pofung / Sainsonic GT-3TP,Baofeng,/ Pofung / Sainsonic GT-3TP
Quansheng 1680,Quansheng,1680
Holsterguy SSRH-500 Shoulder Strap Radio Holster,Holsterguy,SSRH-500 Shoulder Strap Radio Holster
Hora F-50 VU dual-band waterproof,Hora,F-50 VU dual-band waterproof
Wouxun KG-816,Wouxun,KG-816
Jingtong JT-308,Jingtong,JT-308
CHIERDA CD-UV55,Chierda,CD-UV55
Hilltop Auctions Hand Strap,Hilltop,Auctions Hand Strap
Icom U-16,Icom,U-16
Feidaxin FD-58,Feidaxin,FD-58
Kenwood TH-K4,Kenwood,TH-K4
Wouxun KG-833,Wouxun,KG-833
Feidaxin FD-268A,Feidaxin,FD-268A
ICOM IC-12N,Icom,IC-12N
Anytone AT-288  2 (70cm) meter HT,Anytone,AT-288  2 (70cm) meter HT
KYD TK-6188 Handheld Transceiver,Kyd,TK-6188 Handheld Transceiver
ICom IC V85,Icom,IC V85
"Maxpedition 4\"" Clip on Holster",Maxpedition,"4\"" Clip on Holster"
FDC FD-460,Fdc,FD-460
Icom IC-2SE VHF Tranceiver,Icom,IC-2SE
ICOM IC-W21A,Icom,IC-W21A
Ten-Tec Model 2591,Ten-Tec,Model 2591
Kenwood TH-235,Kenwood,TH-235
Midland 73-007,Midland,73-007
Icom F24 (commercial),Icom,F24
Palstar KH-6 50MHz H/T,Palstar,KH-6 50MHz H/T
AEA DX-Handy MX-6S / Mizuho MX-6S,Aea,DX-Handy MX-6S / Mizuho MX-6S
yaesu ft911,Yaesu,ft911
Icom A24LI,Icom,A24LI
BK Radio DPH-CMD: DPH5102XCMD,Bk,Radio DPH-CMD: DPH5102XCMD
ZARES ZLUHF02,Zares,ZLUHF02
Icom IC-F30GS,Icom,IC-F30GS
Icom T21A,Icom,T21A
Motorola MTX838,Motorola,MTX838
ADI AT-18,Adi,AT-18
Standard c188a,Standard,c188a
Icom IC-F4GT UHF Portable (LMR),Icom,IC-F4GT UHF Portable
Motorola GP88,Motorola,GP88
KENWOOD 270G,Kenwood,270G
Motorola GP 328,Motorola,GP 328
Vertex VX-420 Portable,Vertex,VX-420 Portable
ICOM IC-M3,Icom,IC-M3
Kenwood 2140,Kenwood,2140
Icom P4AT,Icom,P4AT
Kenwood TK-290,Kenwood,TK-290
Vertex VX600,Vertex,VX600
Santec ST7,Santec,ST7
Motorola MT2100,Motorola,MT2100
Mizuho MX-6Z,Mizuho,MX-6Z
Alinco DJ-193,Alinco,DJ-193
Connect Systems CS-750,Connect Systems,CS-750
Wouxun KG-UV8D+,Wouxun,KG-UV8D+
Yaesu VX-110,Yaesu,VX-110
Wouxun KG-UV9D Plus+,Wouxun,KG-UV9D Plus+
Baofeng UV-22,Baofeng,UV-22
BAOFENG UV-5G PLUS,Baofeng,UV-5G PLUS
Radtel RT-6D and 6D Pro,Radtel,RT-6D and 6D Pro
Baofeng UV25,Baofeng,UV25
