Brand,Model,APRS,Air Band,Battery (mAh),Cost (Approx),DMR,Display,Freq. Bands (TX),GPS,Harmonic Suppression Status,Intro Year,Known Rebadges / Clones,Power (W),Satellite Tracking,Website,FCC_ID,Grantee_Code
Bintolk,BT8200,No,Yes,2800,$50,No,Color LCD,"VHF, UHF",No,Unknown,2024,Radtel RT-900 / Bajeton BJ-8200,10W,No,bintolk (AliExpress),2AJGM-BT8200,2AJGM
Blackbox,BR-188,,,,,,,,,,,,,,,,
Bridgecom,Maverick,Yes (A/D),Yes,3100,$299,Yes,Color TFT,"VHF, UHF",Yes,Excellent,2025,AnyTone AT-D890UV,7W,Yes (Native),bridgecomsystems.com,,
Btech,DMR-6X2 PRO,Yes (A/D),Yes,3100,$180,Yes,Color TFT,"VHF, UHF",Yes,Good (Filtered),2022,AnyTone AT-D878 (Custom FW),7W,Yes (FW Update),baofengtech.com,2AJGM-DMR-6X2PRO,2AJGM
Btech,FRS-A1,No,No,1500,$35/pair,No,LCD,FRS,No,Good (Part 95B),2019,Baofeng BF-888S (Internals),2W,No,baofengtech.com,2AJGM-FRS-A1,2AJGM
Btech,FRS-B1,No,No,1500,$35/pair,No,LCD,FRS,No,Good (Part 95B),2019,Baofeng BF-88E,2W,No,baofengtech.com,2AJGM-FRS-B1,2AJGM
Btech,GMRS-PRO,No,No,2600,$135,No,Color LCD,GMRS,Yes,Good (Part 95E),2022,VR-N7500 (Mobile relative),5W,No,baofengtech.com,2AJGM-GMRS-PRO,2AJGM
Btech,GMRS-V1,,,,,,,,,,,,,,,2AJGM-GMRS-V1,2AJGM
Btech,GMRS-V2,No,No,1800,$55,No,Tri-color,GMRS,No,Good (Part 95E),2022,Baofeng UV-5G (Variant),5W,No,baofengtech.com,2AJGM-GMRS-V2,2AJGM
Btech,MURS-V1,,,,,,,,,,,,,,,2AJGM-MURS-V1,2AJGM
Btech,UV-5R,,,,,,,,,,,,,,,2AJGM-UV-5R,2AJGM
Btech,UV-5X3,,,,,,,,,,,,,,,2AJGM-UV-5X3,2AJGM
Btech,UV-PRO,Yes (A/D),Yes,2600,$165,No,Color LCD,"VHF, UHF",Yes,Good,2022,VGC VR-N76 (OEM),7W,Yes (App),baofengtech.com,2AJGM-UV-PRO,2AJGM
C-Standard,C112,,,,,,,,,,,,,,,,
C-Standard,C508A,,,,,,,,,,,,,,,,
C-Standard,C510,,,,,,,,,,,,,,,,
C-Standard,C520,,,,,,,,,,,,,,,,
C-Standard,C528,,,,,,,,,,,,,,,,
C-Standard,C558,,,,,,,,,,,,,,,,
C-Standard,HX-240,,,,,,,,,,,,,,,,
C-Standard,HX-290,,,,,,,,,,,,,,,,
C-Standard,HX-370S,,,,,,,,,,,,,,,,
C-Standard,HX-460S,,,,,,,,,,,,,,,,
C-Standard,HX471S,,,,,,,,,,,,,,,,
C-Standard,HX580,,,,,,,,,,,,,,,,
Cleartone,ClearSpeach,,,,,,,,,,,,,,,,
Connect Systems,CS-600,,,,,,,,,,,,,,,XH8-CS-600,XH8
Connect Systems,CS-700,,,,,,,,,,,,,,,XH8-CS-700,XH8
Connect Systems,CS-750,,,,,,,,,,,,,,,XH8-CS-750,XH8
Connect Systems,CS-800,,,,,,,,,,,,,,,XH8-CS-800,XH8
Cybercom,ATP-100,,,,,,,,,,,,,,,,
Cybercom,ATP-200,,,,,,,,,,,,,,,,
Cybercom,ATP-400,,,,,,,,,,,,,,,,
Daiwa,Com 1080 / 1090,,,,,,,,,,,,,,,,
Dra,BR-2020,,,,,,,,,,,,,,,,
Drag,TC-1085,,,,,,,,,,,,,,,,
Drag,TC-2085,,,,,,,,,,,,,,,,
Drag,TC-4085,,,,,,,,,,,,,,,,
Drake,2213,,,,,,,,,,,,,,,,
Eagle,DMR-6X2,,,,,,,,,,,,,,,2AJGM-DMR-6X2,2AJGM
Eagle,DMR-6X2 Pro,,,,,,,,,,,,,,,2AJGM-DMR-6X2PRO,2AJGM
Hongxun,DP4801,No,No,2000,$40,No,Color LCD,"VHF, UHF",No,Unknown,2023,Motorola DP4801 (Cosmetic Clone),5W,No,N/A,2AL5L-DP4801,2AL5L
Hongxun,HP-788,No,No,2500,$50,No,Color LCD,"VHF, UHF",No,Unknown,2024,Hytera HP788 (Clone),5W,No,N/A,2AL5L-HP-788,2AL5L
Hongxun,R8,No,No,6800 (Adv),$45,No,Color LCD,"VHF, UHF",No,Unknown,2024,Motorola R8 (Clone),10W,No,N/A,2AL5L-R8,2AL5L
Icom,A-14,,,,,,,,,,,,,,,AFJ-A-14,AFJ
Icom,A-4,,,,,,,,,,,,,,,AFJ-A-4,AFJ
Icom,A-6,,,,,,,,,,,,,,,AFJ-A-6,AFJ
Icom,AT-55,,,,,,,,,,,,,,,AFJ-AT-55,AFJ
Icom,IC-02AT,,,,,,,,,,,,,,,AFJ-IC-02AT,AFJ
Icom,IC-03AT,,,,,,,,,,,,,,,AFJ-IC-03AT,AFJ
Icom,IC-04AT,,,,,,,,,,,,,,,AFJ-IC-04AT,AFJ
Icom,IC-12,,,,,,,,,,,,,,,AFJ-IC-12,AFJ
Icom,IC-12AT,,,,,,,,,,,,,,,AFJ-IC-12AT,AFJ
Icom,IC-12GAT,,,,,,,,,,,,,,,AFJ-IC-12GAT,AFJ
Icom,IC-215,,,,,,,,,,,,,,,AFJ-IC-215,AFJ
Icom,IC-24AT,,,,,,,,,,,,,,,AFJ-IC-24AT,AFJ
Icom,IC-281,,,,,,,,,,,,,,,AFJ-IC-281,AFJ
Icom,IC-2A / 2AT / 2E,,,,,,,,,,,,,,,AFJ-IC-2A2AT2E,AFJ
Icom,IC-2GAT,,,,,,,,,,,,,,,AFJ-IC-2GAT,AFJ
Icom,IC-2GXAT,,,,,,,,,,,,,,,AFJ-IC-2GXAT,AFJ
Icom,IC-2iA,,,,,,,,,,,,,,,AFJ-IC-2IA,AFJ
Icom,IC-2N,,,,,,,,,,,,,,,AFJ-IC-2N,AFJ
Icom,IC-2SRA,,,,,,,,,,,,,,,AFJ-IC-2SRA,AFJ
Icom,IC-32AT,,,,,,,,,,,,,,,AFJ-IC-32AT,AFJ
