FCC ID,Grantee Code,Grantee Name,Application Purpose,Grant Date
AFJ272103,AFJ,ICOM Incorporated,Original Equipment,09/20/2004
AFJ272105,AFJ,ICOM Incorporated,Class II Permissive Change,07/20/2005
AFJ272105,AFJ,ICOM Incorporated,Original Equipment,06/30/2005
AFJ277500,AFJ,ICOM Incorporated,Class II Permissive Change,06/08/2009
AFJ277500,AFJ,ICOM Incorporated,Class II Permissive Change,12/21/2012
AFJ277500,AFJ,ICOM Incorporated,Original Equipment,10/28/2004
AFJ277601,AFJ,ICOM Incorporated,Class II Permissive Change,06/30/2009
AFJ277601,AFJ,ICOM Incorporated,Class II Permissive Change,12/19/2012
AFJ277601,AFJ,ICOM Incorporated,Original Equipment,09/17/2004
AFJ277602,AFJ,ICOM Incorporated,Class II Permissive Change,07/08/2009
AFJ277602,AFJ,ICOM Incorporated,Class II Permissive Change,12/19/2012
AFJ277602,AFJ,ICOM Incorporated,Original Equipment,11/01/2004
AFJ278000,AFJ,ICOM Incorporated,Class II Permissive Change,11/29/2010
AFJ278000,AFJ,ICOM Incorporated,Original Equipment,09/13/2005
AFJ278100,AFJ,ICOM Incorporated,Class II Permissive Change,02/24/2012
AFJ278100,AFJ,ICOM Incorporated,Original Equipment,11/02/2004
AFJ278201,AFJ,ICOM Incorporated,Original Equipment,12/09/2004
AFJ278202,AFJ,ICOM Incorporated,Original Equipment,12/09/2004
AFJ278800,AFJ,ICOM Incorporated,Original Equipment,09/28/2004
AFJ279100,AFJ,ICOM Incorporated,Class II Permissive Change,01/13/2012
AFJ279100,AFJ,ICOM Incorporated,Class II Permissive Change,05/17/2017
AFJ279100,AFJ,ICOM Incorporated,Class II Permissive Change,06/12/2008
AFJ279100,AFJ,ICOM Incorporated,Original Equipment,11/16/2004
AFJ279501,AFJ,ICOM Incorporated,Original Equipment,11/22/2004
AFJ279521,AFJ,ICOM Incorporated,Class II Permissive Change,12/02/2016
AFJ279521,AFJ,ICOM Incorporated,Original Equipment,10/13/2004
AFJ279530,AFJ,ICOM Incorporated,Original Equipment,09/08/2022
AFJ280300,AFJ,ICOM Incorporated,Original Equipment,01/12/2005
AFJ280401,AFJ,ICOM Incorporated,Original Equipment,12/23/2004
AFJ280402,AFJ,ICOM Incorporated,Original Equipment,12/23/2004
AFJ281600,AFJ,ICOM Incorporated,Class II Permissive Change,12/29/2012
AFJ281600,AFJ,ICOM Incorporated,Original Equipment,09/21/2004
AFJ282600,AFJ,ICOM Incorporated,Original Equipment,11/08/2004
AFJ283300,AFJ,ICOM Incorporated,Original Equipment,11/23/2004
AFJ284400,AFJ,ICOM Incorporated,Original Equipment,02/27/2007
AFJ284401,AFJ,ICOM Incorporated,Original Equipment,02/23/2007
AFJ285200,AFJ,ICOM Incorporated,Original Equipment,03/15/2005
AFJ286900,AFJ,ICOM Incorporated,Original Equipment,11/03/2005
AFJ287900,AFJ,ICOM Incorporated,Original Equipment,04/25/2006
AFJ287901,AFJ,ICOM Incorporated,Original Equipment,06/15/2007
AFJ288000,AFJ,ICOM Incorporated,Original Equipment,01/27/2006
AFJ288800,AFJ,ICOM Incorporated,Original Equipment,04/21/2006
AFJ289300,AFJ,ICOM Incorporated,Class II Permissive Change,04/16/2008
AFJ289300,AFJ,ICOM Incorporated,Class II Permissive Change,09/07/2012
AFJ289300,AFJ,ICOM Incorporated,Class II Permissive Change,12/20/2013
AFJ289300,AFJ,ICOM Incorporated,Original Equipment,04/18/2006
AFJ289401,AFJ,ICOM Incorporated,Class II Permissive Change,01/09/2014
AFJ289401,AFJ,ICOM Incorporated,Class II Permissive Change,02/15/2008
AFJ289401,AFJ,ICOM Incorporated,Class II Permissive Change,09/17/2012
AFJ289401,AFJ,ICOM Incorporated,Original Equipment,05/18/2006
AFJ289402,AFJ,ICOM Incorporated,Class II Permissive Change,07/28/2008
AFJ289402,AFJ,ICOM Incorporated,Class II Permissive Change,09/28/2012
AFJ289402,AFJ,ICOM Incorporated,Original Equipment,06/03/2006
AFJ290500,AFJ,ICOM Incorporated,Original Equipment,01/27/2006
AFJ291400,AFJ,ICOM Incorporated,Class II Permissive Change,08/18/2011
AFJ291400,AFJ,ICOM Incorporated,Original Equipment,03/08/2006
AFJ292600,AFJ,ICOM Incorporated,Class II Permissive Change,03/06/2012
AFJ292600,AFJ,ICOM Incorporated,Class II Permissive Change,12/29/2012
AFJ292600,AFJ,ICOM Incorporated,Original Equipment,06/19/2006
AFJ292701,AFJ,ICOM Incorporated,Class II Permissive Change,02/16/2012
AFJ292701,AFJ,ICOM Incorporated,Class II Permissive Change,12/29/2012
AFJ292701,AFJ,ICOM Incorporated,Original Equipment,07/11/2006
AFJ292702,AFJ,ICOM Incorporated,Class II Permissive Change,02/16/2012
AFJ292702,AFJ,ICOM Incorporated,Class II Permissive Change,12/29/2012
AFJ292702,AFJ,ICOM Incorporated,Original Equipment,07/14/2006
AFJ293100,AFJ,ICOM Incorporated,Class II Permissive Change,01/11/2023
AFJ293100,AFJ,ICOM Incorporated,Original Equipment,11/11/2022
AFJ293100,AFJ,ICOM Incorporated,Original Equipment,11/12/2022
AFJ296400,AFJ,ICOM Incorporated,Original Equipment,01/08/2007
AFJ297000,AFJ,ICOM Incorporated,Original Equipment,01/11/2007
AFJ297400,AFJ,ICOM Incorporated,Class II Permissive Change,07/22/2011
AFJ297400,AFJ,ICOM Incorporated,Original Equipment,07/24/2007
AFJ297410,AFJ,ICOM Incorporated,Class II Permissive Change,06/07/2016
